"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,20,848.282514,9.105671,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,20,69.675153,0.846113,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,20,0.222602,0.055778,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,20,237.905193,3.786252,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,20,0.527383,0.046416,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,20,0.012775,0.001016,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,20,585.183270,15.913608,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,20,30.847206,0.786595,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,20,2.447627,0.211677,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,20,794.400290,21.817394,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,20,67.522763,3.126619,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,20,0.547967,0.295983,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,20,218.766659,0.676707,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,20,0.569787,0.006573,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,20,0.004665,0.000116,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,20,713.687315,10.445761,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,20,24.642966,0.257384,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,20,2.534366,0.199269,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,20,619.532856,28.423622,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,20,61.527541,2.245589,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,20,0.228675,0.054632,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongContains","thrpt",1,20,216.194507,1.735512,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongContains","thrpt",1,20,0.517318,0.030744,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongContains","thrpt",1,20,0.007552,0.000382,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongHashcode","thrpt",1,20,535.285222,5.165017,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongHashcode","thrpt",1,20,30.652284,0.609130,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongHashcode","thrpt",1,20,2.976281,0.260456,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleAppend","thrpt",1,20,781.794384,32.837029,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleAppend","thrpt",1,20,26.154668,0.344367,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleAppend","thrpt",1,20,1.867798,0.040542,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleContains","thrpt",1,20,237.877865,2.689575,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleContains","thrpt",1,20,1.669755,0.040493,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleContains","thrpt",1,20,0.015290,0.000808,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleReverse","thrpt",1,20,4160.193498,7.785734,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleReverse","thrpt",1,20,49.961391,2.109271,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalDoubleReverse","thrpt",1,20,4.734398,0.262186,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntAppend","thrpt",1,20,900.317150,48.404135,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntAppend","thrpt",1,20,29.931864,0.668058,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntAppend","thrpt",1,20,2.009917,0.065119,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntContains","thrpt",1,20,318.335867,4.433624,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntContains","thrpt",1,20,2.519371,0.047051,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntContains","thrpt",1,20,0.024074,0.000952,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntReverse","thrpt",1,20,3566.172538,57.031336,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntReverse","thrpt",1,20,49.326772,2.014227,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalIntReverse","thrpt",1,20,4.589147,0.324157,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongAppend","thrpt",1,20,786.345163,52.797713,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongAppend","thrpt",1,20,23.430478,1.923799,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongAppend","thrpt",1,20,1.811561,0.045814,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongContains","thrpt",1,20,272.277827,6.175461,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongContains","thrpt",1,20,1.915724,0.047216,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongContains","thrpt",1,20,0.015191,0.001563,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongReverse","thrpt",1,20,3442.305307,165.363627,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongReverse","thrpt",1,20,44.191587,5.177638,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkGraalLongReverse","thrpt",1,20,4.743174,0.276784,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,358.131376,13.668827,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,215.139659,9.809896,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,160.007228,7.801532,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,126.621948,2.285827,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,108.342059,2.850110,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,97.344328,2.982883,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,73.931864,5.401198,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,72.723087,6.229103,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,18.204308,3.985848,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,5.110059,2.915453,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleAppend","thrpt",1,10,0.531271,0.347152,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,44.518341,2.093142,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,18.528004,0.113404,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,10.080081,0.066677,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,6.162825,0.039233,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,1.568789,0.353790,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,1.309375,0.282849,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,0.985188,0.066871,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,0.926334,0.072917,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,0.104178,0.003944,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,0.024127,0.000175,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleContains","thrpt",1,10,0.010474,0.000320,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,215.628189,10.591446,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,116.140816,1.837543,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,98.210299,1.336493,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,76.933392,0.873723,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,60.132975,6.674301,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,38.825745,11.149592,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,35.212645,9.507039,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,31.942099,4.006365,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,13.097855,0.055107,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,6.847230,0.092965,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalDoubleHashcode","thrpt",1,10,3.768866,0.503476,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,414.063477,9.683633,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,274.818898,4.459588,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,187.488291,19.606970,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,155.227295,4.105850,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,126.214161,9.564136,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,101.584685,5.543693,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,83.252460,9.963195,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,78.153285,4.764522,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,25.361900,2.680997,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,3.755675,2.650992,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntAppend","thrpt",1,10,0.911909,0.932800,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,44.982814,1.085707,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,17.863343,0.708508,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,9.724200,0.892108,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,6.189740,0.145744,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,2.305275,0.237342,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,1.576017,1.152322,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,1.560687,0.028273,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,1.257894,0.052544,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,0.145760,0.004977,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,0.033697,0.001725,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntContains","thrpt",1,10,0.012058,0.000237,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,318.354276,4.582744,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,185.178215,0.533999,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,134.525350,0.348314,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,102.601496,0.619602,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,55.441892,6.044515,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,54.837831,2.111962,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,41.972937,6.735901,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,42.406150,0.133997,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,14.361012,1.101324,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,6.373761,0.745020,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalIntHashcode","thrpt",1,10,4.236275,0.884979,"ops/s",7500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,372.942666,9.580619,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,216.085554,18.368907,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,171.799402,2.830464,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,127.554622,2.806493,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,106.616147,1.448709,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,94.985053,4.883483,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,71.766400,2.824433,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkGraalLongAppend","thrpt",1,10,70.059018,8.314668,"ops/s",900000
